№;Группа;Позиция;Количество;Спецификация;Критерий приёмки;Цена мин, ₽;Цена макс, ₽;Вариант 1;Ссылка 1;Вариант 2;Ссылка 2;Вариант 3;Ссылка 3;Вариант 4;Ссылка 4
11;Профиль;Алюминиевый профиль 2020;1;"350 мм; паз 6; ровный";"T-гайки M5 входят; профиль без заметного изгиба";500;1400;Ozon;https://www.ozon.ru/search/?text=%D0%90%D0%BB%D1%8E%D0%BC%D0%B8%D0%BD%D0%B8%D0%B5%D0%B2%D1%8B%D0%B9%20%D0%BF%D1%80%D0%BE%D1%84%D0%B8%D0%BB%D1%8C%202020;AliExpress;https://aliexpress.ru/wholesale?SearchText=%D0%90%D0%BB%D1%8E%D0%BC%D0%B8%D0%BD%D0%B8%D0%B5%D0%B2%D1%8B%D0%B9%20%D0%BF%D1%80%D0%BE%D1%84%D0%B8%D0%BB%D1%8C%202020;Wildberries;https://www.wildberries.ru/catalog/0/search.aspx?search=%D0%90%D0%BB%D1%8E%D0%BC%D0%B8%D0%BD%D0%B8%D0%B5%D0%B2%D1%8B%D0%B9%20%D0%BF%D1%80%D0%BE%D1%84%D0%B8%D0%BB%D1%8C%202020;Яндекс Маркет;https://market.yandex.ru/search?text=%D0%90%D0%BB%D1%8E%D0%BC%D0%B8%D0%BD%D0%B8%D0%B5%D0%B2%D1%8B%D0%B9%20%D0%BF%D1%80%D0%BE%D1%84%D0%B8%D0%BB%D1%8C%202020
12;Передача;Ремень GT2 6 мм;2 м;"Шаг 2 мм; стекловолоконный или арамидный корд";"Без стального корда; равномерный профиль зуба";300;900;Ozon;https://www.ozon.ru/search/?text=%D0%A0%D0%B5%D0%BC%D0%B5%D0%BD%D1%8C%20GT2%206%20%D0%BC%D0%BC;AliExpress;https://aliexpress.ru/wholesale?SearchText=%D0%A0%D0%B5%D0%BC%D0%B5%D0%BD%D1%8C%20GT2%206%20%D0%BC%D0%BC;Wildberries;https://www.wildberries.ru/catalog/0/search.aspx?search=%D0%A0%D0%B5%D0%BC%D0%B5%D0%BD%D1%8C%20GT2%206%20%D0%BC%D0%BC;Яндекс Маркет;https://market.yandex.ru/search?text=%D0%A0%D0%B5%D0%BC%D0%B5%D0%BD%D1%8C%20GT2%206%20%D0%BC%D0%BC
13;Передача;Шкив GT2 20T 5 мм;3;"20 зубьев; отверстие 5 мм; два винта";"Садится на вал без люфта; один винт попадает на D-срез";250;750;Ozon;https://www.ozon.ru/search/?text=%D0%A8%D0%BA%D0%B8%D0%B2%20GT2%2020T%205%20%D0%BC%D0%BC;AliExpress;https://aliexpress.ru/wholesale?SearchText=%D0%A8%D0%BA%D0%B8%D0%B2%20GT2%2020T%205%20%D0%BC%D0%BC;Wildberries;https://www.wildberries.ru/catalog/0/search.aspx?search=%D0%A8%D0%BA%D0%B8%D0%B2%20GT2%2020T%205%20%D0%BC%D0%BC;Яндекс Маркет;https://market.yandex.ru/search?text=%D0%A8%D0%BA%D0%B8%D0%B2%20GT2%2020T%205%20%D0%BC%D0%BC
14;Передача;Зубчатый ролик GT2 M5;3;"Под ремень 6 мм; ось M5";Свободное вращение без выраженного люфта;300;900;Ozon;https://www.ozon.ru/search/?text=%D0%97%D1%83%D0%B1%D1%87%D0%B0%D1%82%D1%8B%D0%B9%20%D1%80%D0%BE%D0%BB%D0%B8%D0%BA%20GT2%20M5;AliExpress;https://aliexpress.ru/wholesale?SearchText=%D0%97%D1%83%D0%B1%D1%87%D0%B0%D1%82%D1%8B%D0%B9%20%D1%80%D0%BE%D0%BB%D0%B8%D0%BA%20GT2%20M5;Wildberries;https://www.wildberries.ru/catalog/0/search.aspx?search=%D0%97%D1%83%D0%B1%D1%87%D0%B0%D1%82%D1%8B%D0%B9%20%D1%80%D0%BE%D0%BB%D0%B8%D0%BA%20GT2%20M5;Яндекс Маркет;https://market.yandex.ru/search?text=%D0%97%D1%83%D0%B1%D1%87%D0%B0%D1%82%D1%8B%D0%B9%20%D1%80%D0%BE%D0%BB%D0%B8%D0%BA%20GT2%20M5
15;Опора;Подшипник 625ZZ;4;5×16×5 мм;"Свободное вращение; нет выраженного радиального люфта";200;700;Ozon;https://www.ozon.ru/search/?text=%D0%9F%D0%BE%D0%B4%D1%88%D0%B8%D0%BF%D0%BD%D0%B8%D0%BA%20625ZZ;AliExpress;https://aliexpress.ru/wholesale?SearchText=%D0%9F%D0%BE%D0%B4%D1%88%D0%B8%D0%BF%D0%BD%D0%B8%D0%BA%20625ZZ;Wildberries;https://www.wildberries.ru/catalog/0/search.aspx?search=%D0%9F%D0%BE%D0%B4%D1%88%D0%B8%D0%BF%D0%BD%D0%B8%D0%BA%20625ZZ;Яндекс Маркет;https://market.yandex.ru/search?text=%D0%9F%D0%BE%D0%B4%D1%88%D0%B8%D0%BF%D0%BD%D0%B8%D0%BA%20625ZZ
16;Концевик;Микропереключатель COM NO NC;3;"Одинаковая модель; рычаг; три контакта";"Стабильное переключение; известна сетка отверстий";180;600;Ozon;https://www.ozon.ru/search/?text=%D0%9C%D0%B8%D0%BA%D1%80%D0%BE%D0%BF%D0%B5%D1%80%D0%B5%D0%BA%D0%BB%D1%8E%D1%87%D0%B0%D1%82%D0%B5%D0%BB%D1%8C%20COM%20NO%20NC;AliExpress;https://aliexpress.ru/wholesale?SearchText=%D0%9C%D0%B8%D0%BA%D1%80%D0%BE%D0%BF%D0%B5%D1%80%D0%B5%D0%BA%D0%BB%D1%8E%D1%87%D0%B0%D1%82%D0%B5%D0%BB%D1%8C%20COM%20NO%20NC;Wildberries;https://www.wildberries.ru/catalog/0/search.aspx?search=%D0%9C%D0%B8%D0%BA%D1%80%D0%BE%D0%BF%D0%B5%D1%80%D0%B5%D0%BA%D0%BB%D1%8E%D1%87%D0%B0%D1%82%D0%B5%D0%BB%D1%8C%20COM%20NO%20NC;Яндекс Маркет;https://market.yandex.ru/search?text=%D0%9C%D0%B8%D0%BA%D1%80%D0%BE%D0%BF%D0%B5%D1%80%D0%B5%D0%BA%D0%BB%D1%8E%D1%87%D0%B0%D1%82%D0%B5%D0%BB%D1%8C%20COM%20NO%20NC
17;Основание;Берёзовая фанера 420×500×12 мм;1;Плоская сухая заготовка;"Нет винта и расслоений; диагонали совпадают";900;2200;Ozon;https://www.ozon.ru/search/?text=%D0%91%D0%B5%D1%80%D1%91%D0%B7%D0%BE%D0%B2%D0%B0%D1%8F%20%D1%84%D0%B0%D0%BD%D0%B5%D1%80%D0%B0%20420%C3%97500%C3%9712%20%D0%BC%D0%BC;AliExpress;https://aliexpress.ru/wholesale?SearchText=%D0%91%D0%B5%D1%80%D1%91%D0%B7%D0%BE%D0%B2%D0%B0%D1%8F%20%D1%84%D0%B0%D0%BD%D0%B5%D1%80%D0%B0%20420%C3%97500%C3%9712%20%D0%BC%D0%BC;Wildberries;https://www.wildberries.ru/catalog/0/search.aspx?search=%D0%91%D0%B5%D1%80%D1%91%D0%B7%D0%BE%D0%B2%D0%B0%D1%8F%20%D1%84%D0%B0%D0%BD%D0%B5%D1%80%D0%B0%20420%C3%97500%C3%9712%20%D0%BC%D0%BC;Яндекс Маркет;https://market.yandex.ru/search?text=%D0%91%D0%B5%D1%80%D1%91%D0%B7%D0%BE%D0%B2%D0%B0%D1%8F%20%D1%84%D0%B0%D0%BD%D0%B5%D1%80%D0%B0%20420%C3%97500%C3%9712%20%D0%BC%D0%BC
18;3D-печать;PETG 1,75 мм;1 кг;"Сухая катушка; стабильный диаметр";Пробные посадки и силовые детали печатаются без расслоения;1000;2200;Ozon;https://www.ozon.ru/search/?text=PETG%201%2C75%20%D0%BC%D0%BC;AliExpress;https://aliexpress.ru/wholesale?SearchText=PETG%201%2C75%20%D0%BC%D0%BC;Wildberries;https://www.wildberries.ru/catalog/0/search.aspx?search=PETG%201%2C75%20%D0%BC%D0%BC;Яндекс Маркет;https://market.yandex.ru/search?text=PETG%201%2C75%20%D0%BC%D0%BC
19;Хранилище;microSD 8–32 ГБ;1;"FAT32; качественная карта";FluidNC стабильно читает и записывает задания;400;1100;Ozon;https://www.ozon.ru/search/?text=microSD%208%E2%80%9332%20%D0%93%D0%91;AliExpress;https://aliexpress.ru/wholesale?SearchText=microSD%208%E2%80%9332%20%D0%93%D0%91;Wildberries;https://www.wildberries.ru/catalog/0/search.aspx?search=microSD%208%E2%80%9332%20%D0%93%D0%91;Яндекс Маркет;https://market.yandex.ru/search?text=microSD%208%E2%80%9332%20%D0%93%D0%91
20;Крепёж;Термовставки M3;40;"Латунные; наружный диаметр измерен";Посадка выбрана по fit_coupon;300;900;Ozon;https://www.ozon.ru/search/?text=%D0%A2%D0%B5%D1%80%D0%BC%D0%BE%D0%B2%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B8%20M3;AliExpress;https://aliexpress.ru/wholesale?SearchText=%D0%A2%D0%B5%D1%80%D0%BC%D0%BE%D0%B2%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B8%20M3;Wildberries;https://www.wildberries.ru/catalog/0/search.aspx?search=%D0%A2%D0%B5%D1%80%D0%BC%D0%BE%D0%B2%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B8%20M3;Яндекс Маркет;https://market.yandex.ru/search?text=%D0%A2%D0%B5%D1%80%D0%BC%D0%BE%D0%B2%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B8%20M3
21;Крепёж;Комплект M3;1;"M3×8/12/16/25; гайки и шайбы";"Класс не ниже 8.8 для силовых мест; 20% запас";700;1800;Ozon;https://www.ozon.ru/search/?text=%D0%9A%D0%BE%D0%BC%D0%BF%D0%BB%D0%B5%D0%BA%D1%82%20M3;AliExpress;https://aliexpress.ru/wholesale?SearchText=%D0%9A%D0%BE%D0%BC%D0%BF%D0%BB%D0%B5%D0%BA%D1%82%20M3;Wildberries;https://www.wildberries.ru/catalog/0/search.aspx?search=%D0%9A%D0%BE%D0%BC%D0%BF%D0%BB%D0%B5%D0%BA%D1%82%20M3;Яндекс Маркет;https://market.yandex.ru/search?text=%D0%9A%D0%BE%D0%BC%D0%BF%D0%BB%D0%B5%D0%BA%D1%82%20M3
22;Крепёж;Комплект M4;1;"M4×12/20; гайки и шайбы";Длины проверены на пробной сборке;500;1300;Ozon;https://www.ozon.ru/search/?text=%D0%9A%D0%BE%D0%BC%D0%BF%D0%BB%D0%B5%D0%BA%D1%82%20M4;AliExpress;https://aliexpress.ru/wholesale?SearchText=%D0%9A%D0%BE%D0%BC%D0%BF%D0%BB%D0%B5%D0%BA%D1%82%20M4;Wildberries;https://www.wildberries.ru/catalog/0/search.aspx?search=%D0%9A%D0%BE%D0%BC%D0%BF%D0%BB%D0%B5%D0%BA%D1%82%20M4;Яндекс Маркет;https://market.yandex.ru/search?text=%D0%9A%D0%BE%D0%BC%D0%BF%D0%BB%D0%B5%D0%BA%D1%82%20M4
23;Крепёж;Комплект M5 и T-гайки;1;"M5×12/16/25; T-гайки паз 6";T-гайки совместимы с выбранным 2020;700;1900;Ozon;https://www.ozon.ru/search/?text=%D0%9A%D0%BE%D0%BC%D0%BF%D0%BB%D0%B5%D0%BA%D1%82%20M5%20%D0%B8%20T-%D0%B3%D0%B0%D0%B9%D0%BA%D0%B8;AliExpress;https://aliexpress.ru/wholesale?SearchText=%D0%9A%D0%BE%D0%BC%D0%BF%D0%BB%D0%B5%D0%BA%D1%82%20M5%20%D0%B8%20T-%D0%B3%D0%B0%D0%B9%D0%BA%D0%B8;Wildberries;https://www.wildberries.ru/catalog/0/search.aspx?search=%D0%9A%D0%BE%D0%BC%D0%BF%D0%BB%D0%B5%D0%BA%D1%82%20M5%20%D0%B8%20T-%D0%B3%D0%B0%D0%B9%D0%BA%D0%B8;Яндекс Маркет;https://market.yandex.ru/search?text=%D0%9A%D0%BE%D0%BC%D0%BF%D0%BB%D0%B5%D0%BA%D1%82%20M5%20%D0%B8%20T-%D0%B3%D0%B0%D0%B9%D0%BA%D0%B8
24;Проводка;Провод AWG18;2 м;Многожильный медный для 12 В;"Не греется; оконцован НШВИ";350;900;Ozon;https://www.ozon.ru/search/?text=%D0%9F%D1%80%D0%BE%D0%B2%D0%BE%D0%B4%20AWG18;AliExpress;https://aliexpress.ru/wholesale?SearchText=%D0%9F%D1%80%D0%BE%D0%B2%D0%BE%D0%B4%20AWG18;Wildberries;https://www.wildberries.ru/catalog/0/search.aspx?search=%D0%9F%D1%80%D0%BE%D0%B2%D0%BE%D0%B4%20AWG18;Яндекс Маркет;https://market.yandex.ru/search?text=%D0%9F%D1%80%D0%BE%D0%B2%D0%BE%D0%B4%20AWG18
25;Проводка;Кабель двигателя 4×AWG22;5 м;Гибкий многожильный;Достаточная длина на полный ход без натяжения;600;1600;Ozon;https://www.ozon.ru/search/?text=%D0%9A%D0%B0%D0%B1%D0%B5%D0%BB%D1%8C%20%D0%B4%D0%B2%D0%B8%D0%B3%D0%B0%D1%82%D0%B5%D0%BB%D1%8F%204%C3%97AWG22;AliExpress;https://aliexpress.ru/wholesale?SearchText=%D0%9A%D0%B0%D0%B1%D0%B5%D0%BB%D1%8C%20%D0%B4%D0%B2%D0%B8%D0%B3%D0%B0%D1%82%D0%B5%D0%BB%D1%8F%204%C3%97AWG22;Wildberries;https://www.wildberries.ru/catalog/0/search.aspx?search=%D0%9A%D0%B0%D0%B1%D0%B5%D0%BB%D1%8C%20%D0%B4%D0%B2%D0%B8%D0%B3%D0%B0%D1%82%D0%B5%D0%BB%D1%8F%204%C3%97AWG22;Яндекс Маркет;https://market.yandex.ru/search?text=%D0%9A%D0%B0%D0%B1%D0%B5%D0%BB%D1%8C%20%D0%B4%D0%B2%D0%B8%D0%B3%D0%B0%D1%82%D0%B5%D0%BB%D1%8F%204%C3%97AWG22
26;Проводка;Сигнальный провод AWG26;5 м;"Гибкий; несколько цветов";Концевики и PWM промаркированы с двух сторон;350;1000;Ozon;https://www.ozon.ru/search/?text=%D0%A1%D0%B8%D0%B3%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9%20%D0%BF%D1%80%D0%BE%D0%B2%D0%BE%D0%B4%20AWG26;AliExpress;https://aliexpress.ru/wholesale?SearchText=%D0%A1%D0%B8%D0%B3%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9%20%D0%BF%D1%80%D0%BE%D0%B2%D0%BE%D0%B4%20AWG26;Wildberries;https://www.wildberries.ru/catalog/0/search.aspx?search=%D0%A1%D0%B8%D0%B3%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9%20%D0%BF%D1%80%D0%BE%D0%B2%D0%BE%D0%B4%20AWG26;Яндекс Маркет;https://market.yandex.ru/search?text=%D0%A1%D0%B8%D0%B3%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9%20%D0%BF%D1%80%D0%BE%D0%B2%D0%BE%D0%B4%20AWG26
27;Разъёмы;JST-XH и наконечники НШВИ;1 комплект;Разъёмы под плату и клеммы;"Обжим выполнен кримпером; нет лужёных концов в клеммах";700;1800;Ozon;https://www.ozon.ru/search/?text=JST-XH%20%D0%B8%20%D0%BD%D0%B0%D0%BA%D0%BE%D0%BD%D0%B5%D1%87%D0%BD%D0%B8%D0%BA%D0%B8%20%D0%9D%D0%A8%D0%92%D0%98;AliExpress;https://aliexpress.ru/wholesale?SearchText=JST-XH%20%D0%B8%20%D0%BD%D0%B0%D0%BA%D0%BE%D0%BD%D0%B5%D1%87%D0%BD%D0%B8%D0%BA%D0%B8%20%D0%9D%D0%A8%D0%92%D0%98;Wildberries;https://www.wildberries.ru/catalog/0/search.aspx?search=JST-XH%20%D0%B8%20%D0%BD%D0%B0%D0%BA%D0%BE%D0%BD%D0%B5%D1%87%D0%BD%D0%B8%D0%BA%D0%B8%20%D0%9D%D0%A8%D0%92%D0%98;Яндекс Маркет;https://market.yandex.ru/search?text=JST-XH%20%D0%B8%20%D0%BD%D0%B0%D0%BA%D0%BE%D0%BD%D0%B5%D1%87%D0%BD%D0%B8%D0%BA%D0%B8%20%D0%9D%D0%A8%D0%92%D0%98
28;Перо;Пружины сжатия;1 набор;"Наружный диаметр около 10 мм; несколько жёсткостей";Подобран нажим 1–3 Н при ходе 3–5 мм;300;900;Ozon;https://www.ozon.ru/search/?text=%D0%9F%D1%80%D1%83%D0%B6%D0%B8%D0%BD%D1%8B%20%D1%81%D0%B6%D0%B0%D1%82%D0%B8%D1%8F;AliExpress;https://aliexpress.ru/wholesale?SearchText=%D0%9F%D1%80%D1%83%D0%B6%D0%B8%D0%BD%D1%8B%20%D1%81%D0%B6%D0%B0%D1%82%D0%B8%D1%8F;Wildberries;https://www.wildberries.ru/catalog/0/search.aspx?search=%D0%9F%D1%80%D1%83%D0%B6%D0%B8%D0%BD%D1%8B%20%D1%81%D0%B6%D0%B0%D1%82%D0%B8%D1%8F;Яндекс Маркет;https://market.yandex.ru/search?text=%D0%9F%D1%80%D1%83%D0%B6%D0%B8%D0%BD%D1%8B%20%D1%81%D0%B6%D0%B0%D1%82%D0%B8%D1%8F
29;Перо;TPU или резиновая прокладка;1;Мягкая тонкая вставка для цанги;Ручка удерживается без повреждения корпуса;150;500;Ozon;https://www.ozon.ru/search/?text=TPU%20%D0%B8%D0%BB%D0%B8%20%D1%80%D0%B5%D0%B7%D0%B8%D0%BD%D0%BE%D0%B2%D0%B0%D1%8F%20%D0%BF%D1%80%D0%BE%D0%BA%D0%BB%D0%B0%D0%B4%D0%BA%D0%B0;AliExpress;https://aliexpress.ru/wholesale?SearchText=TPU%20%D0%B8%D0%BB%D0%B8%20%D1%80%D0%B5%D0%B7%D0%B8%D0%BD%D0%BE%D0%B2%D0%B0%D1%8F%20%D0%BF%D1%80%D0%BE%D0%BA%D0%BB%D0%B0%D0%B4%D0%BA%D0%B0;Wildberries;https://www.wildberries.ru/catalog/0/search.aspx?search=TPU%20%D0%B8%D0%BB%D0%B8%20%D1%80%D0%B5%D0%B7%D0%B8%D0%BD%D0%BE%D0%B2%D0%B0%D1%8F%20%D0%BF%D1%80%D0%BE%D0%BA%D0%BB%D0%B0%D0%B4%D0%BA%D0%B0;Яндекс Маркет;https://market.yandex.ru/search?text=TPU%20%D0%B8%D0%BB%D0%B8%20%D1%80%D0%B5%D0%B7%D0%B8%D0%BD%D0%BE%D0%B2%D0%B0%D1%8F%20%D0%BF%D1%80%D0%BE%D0%BA%D0%BB%D0%B0%D0%B4%D0%BA%D0%B0
